Filename,HiFspp,LoFspp,Consensus,ByVote,#Maj,#Accpt,MeanClssn,DiscrProb,Clssn if<Thr,DP if<Thr,Fc mean,Fc StdDev,Dur mean,Dur StdDev,calls/sec,1st,2nd,3rd,4th,<--All spp in sqnc classified with a DP>0.75 in order of prevalence,ParentDir,NextDirUp,FileLngth,Version,Filter,Preemphasis,MaxSegLngth,DP Thr,AccpQuality,AccpQualForTally,Max#CallsConsidered
REF-Summer_Tree-20130514_205647-Tabr.wav,,1,Tabr,Tabr,1,1,Tabr,0.9748,,,26.93,,12.16,,4.43,Lano,Tabr,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130514_230953.wav,,,,,,,,,,,,,,,2.3,,,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130515_201900-Lano.wav,,1,Lano,Lano,7,8,Lano,0.9992,,,26.72,0.42,13.51,1.9,2.68,Lano,Tabr,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130515_204515-Lano.wav,,1,Lano,Lano,4,4,Lano,0.9869,,,26.36,0.08,15.81,1.71,3.75,Lano,Tabr,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130515_233027-Lano.wav,,1,Lano,Lano,2,3,Lano,0.9975,,,26.88,0.18,14.12,0.41,1.68,Lano,Tabr,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130516_204744.wav,,1,,,,,,,Lano/Tabr,0.460/0.392,,,,,3.06,Lano,,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130516_205515-Lano.wav,,1,Lano,Lano,6,6,Lano,0.9886,,,27.18,0.21,14.08,1.48,3.68,Lano,,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130516_210122-Lano.wav,,1,Lano,Lano,5,6,Lano,0.9802,,,26.38,0.41,14.02,0.32,2.87,Lano,Tabr,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130516_224331-Lano.wav,,1,Lano,Lano,7,7,Lano,0.9967,,,26.74,0.46,15.67,2.5,1.95,Lano,,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130516_230024-Lano.wav,,1,Lano,Lano,3,4,Lano,0.9886,,,26.48,0.12,14.2,0.29,2.04,Lano,Tabr,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130516_230548-Tabr.wav,,1,Tabr,Tabr,1,1,Tabr,0.9658,,,26.29,,14.93,,1.65,Lano,Tabr,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130516_233843.wav,,1,,Tabr,2,2,Tabr,0.9208,,,25.77,0.24,11.61,4.67,2.03,Tabr,,,,,REF-Summer_Tree-052213,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
