"year","julian","Consensus","n"
"2013",134,"Tabr",1
"2013",135,"Lano",3
"2013",136,"Lano",4
"2013",136,"Tabr",1
"2013",137,"Lano",2
"2013",137,"Tabr",1
"2013",138,"Laci",3
"2013",138,"Tabr",1
"2013",139,"Lano",17
"2013",139,"Tabr",3
"2013",140,"Laci",2
"2013",140,"Lano",2
"2013",142,"Tabr",1
"2013",144,"Tabr",1
"2013",145,"Lano",1
"2013",145,"Tabr",1
"2013",146,"Laci",1
"2013",146,"Lano",9
"2013",146,"Tabr",1
"2013",148,"Lano",6
"2013",148,"Tabr",6
"2013",150,"Lano",2
"2013",150,"Tabr",2
"2013",151,"Laci",1
"2013",151,"Lano",7
"2013",151,"Tabr",2
"2013",152,"Laci",2
"2013",152,"Lano",1
"2013",153,"Laci",2
"2013",153,"Lano",14
"2013",153,"Tabr",6
"2013",154,"Lano",4
"2013",154,"Tabr",1
"2013",155,"Laci",3
"2013",156,"Laci",2
"2013",156,"Lano",1
"2013",156,"Tabr",1
"2013",157,"Laci",1
"2013",157,"Lano",1
"2013",157,"Tabr",1
"2013",158,"Laci",3
"2013",158,"Lano",2
"2013",164,"Lano",1
"2013",165,"Laci",1
"2013",165,"Tabr",1
"2013",167,"Lano",2
"2013",167,"Tabr",1
"2013",168,"Tabr",1
"2013",178,"Lano",2
"2013",179,"Lano",7
"2013",180,"Lano",3
"2013",180,"Tabr",2
"2013",181,"Lano",3
"2013",181,"Tabr",2
"2013",182,"Laci",1
"2013",182,"Lano",4
"2013",182,"Tabr",2
"2013",183,"Lano",8
"2013",184,"Lano",3
"2013",184,"Myca",2
"2013",184,"Tabr",2
"2013",185,"Laci",1
"2013",185,"Lano",2
"2013",185,"Tabr",3
"2013",186,"Lano",2
"2013",186,"Tabr",1
"2013",187,"Lano",3
"2013",187,"Tabr",1
"2013",188,"Lano",1
"2013",189,"Lano",1
"2013",206,"Laci",1
"2013",206,"Lano",1
"2013",207,"Laci",1
"2013",207,"Lano",3
"2013",207,"Myca",1
"2013",207,"Tabr",1
"2013",208,"Tabr",2
"2013",209,"Lano",1
"2013",209,"Tabr",2
"2013",210,"Laci",3
"2013",210,"Lano",1
"2013",210,"Myca",1
"2013",211,"Lano",3
"2013",211,"Tabr",2
"2013",212,"Lano",2
"2013",212,"Tabr",1
"2013",244,"Laci",5
"2013",244,"Lano",23
"2013",244,"Tabr",6
"2013",245,"Laci",3
"2013",245,"Lano",19
"2013",245,"Tabr",2
"2013",246,"Laci",3
"2013",246,"Lano",6
"2013",246,"Myca",1
"2013",246,"Tabr",3
"2013",247,"Laci",8
"2013",247,"Lano",20
"2013",247,"Myca",2
"2013",247,"Tabr",7
"2013",248,"Laci",3
"2013",248,"Lano",6
"2013",249,"Laci",1
"2013",249,"Lano",8
"2013",249,"Myca",1
"2013",249,"Tabr",7
"2013",250,"Laci",3
"2013",250,"Lano",8
"2013",250,"Tabr",1
"2013",251,"Laci",10
"2013",251,"Lano",22
"2013",251,"Myca",1
"2013",251,"Tabr",5
"2013",252,"Laci",15
"2013",252,"Lano",13
"2013",252,"Tabr",5
"2013",253,"Laci",8
"2013",253,"Lano",36
"2013",253,"Tabr",6
"2013",254,"Laci",12
"2013",254,"Lano",141
"2013",254,"Myca",6
"2013",254,"Tabr",17
"2013",255,"Laci",15
"2013",255,"Lano",34
"2013",255,"Tabr",6
"2013",256,"Laci",7
"2013",256,"Lano",3
"2013",256,"Tabr",2
"2013",263,"Lano",3
"2013",263,"Tabr",3
"2013",264,"Lano",14
"2013",264,"Tabr",2
"2013",266,"Lano",13
"2013",266,"Myca",1
"2013",266,"Tabr",2
"2013",267,"Laci",1
"2013",267,"Lano",2
"2013",267,"Tabr",3
"2013",268,"Laci",1
"2013",268,"Lano",1
"2013",269,"Lano",12
"2013",269,"Tabr",1
"2013",270,"Laci",1
"2013",270,"Lano",11
"2013",270,"Tabr",1
"2013",271,"Laci",3
"2013",271,"Lano",1
"2013",271,"Tabr",3
"2013",273,"Lano",9
"2013",273,"Tabr",4
"2013",274,"Lano",2
"2013",276,"Laci",1
"2013",276,"Lano",9
"2013",276,"Tabr",4
"2013",277,"Laci",1
"2013",277,"Lano",14
"2013",278,"Lano",24
"2013",278,"Tabr",1
"2013",279,"Lano",30
"2013",279,"Myca",1
"2013",279,"Tabr",5
"2013",280,"Lano",7
"2013",280,"Tabr",1
"2013",281,"Lano",17
"2013",281,"Tabr",2
"2013",282,"Lano",7
"2013",282,"Tabr",2
"2013",283,"Lano",1
"2013",286,"Laci",1
"2013",286,"Lano",7
"2013",286,"Tabr",3
"2013",287,"Laci",1
"2013",287,"Lano",37
"2013",287,"Tabr",26
"2013",288,"Laci",1
"2013",288,"Lano",33
"2013",288,"Tabr",12
"2013",289,"Lano",3
"2013",290,"Lano",3
"2013",290,"Tabr",1
"2013",291,"Tabr",1
"2013",292,"Lano",1
"2013",294,"Laci",1
"2013",295,"Lano",1
"2013",296,"Lano",1
"2013",299,"Lano",1
"2013",300,"Lano",8
"2013",300,"Tabr",2
"2013",303,"Laci",1
"2013",303,"Lano",3
"2013",303,"Tabr",3
"2013",304,"Laci",1
"2013",306,"Laci",1
"2013",306,"Lano",1
"2013",307,"Lano",1
"2013",307,"Tabr",1
"2013",310,"Tabr",4
"2013",311,"Lano",2
"2013",313,"Lano",1
"2013",314,"Lano",2
"2013",314,"Tabr",2
"2013",315,"Laci",1
"2013",315,"Lano",3
"2013",317,"Laci",1
"2013",317,"Lano",4
"2013",318,"Lano",1
"2013",318,"Tabr",3
"2013",319,"Laci",1
"2013",319,"Myca",9
"2013",320,"Myca",1
"2013",324,"Lano",3
"2013",324,"Myca",1
"2013",324,"Tabr",2
"2013",325,"Lano",1
"2013",325,"Myca",1
"2013",326,"Lano",3
"2013",327,"Laci",2
"2013",327,"Lano",6
"2013",327,"Myca",2
"2013",327,"Tabr",2
"2013",329,"Tabr",1
"2013",330,"Lano",1
"2013",330,"Tabr",1
"2013",332,"Lano",5
"2013",332,"Myca",6
"2013",332,"Tabr",1
"2013",333,"Laci",1
"2013",333,"Lano",1
"2013",333,"Tabr",3
"2013",334,"Lano",4
"2013",334,"Myca",1
"2013",334,"Tabr",34
"2013",337,"Myca",3
"2013",338,"Myca",1
"2013",345,"Laci",2
"2013",345,"Myca",1
"2013",345,"Tabr",2
"2013",346,"Lano",2
"2013",346,"Tabr",1
"2013",347,"Myca",1
"2013",350,"Laci",1
"2013",350,"Lano",7
"2013",350,"Myca",1
"2013",350,"Tabr",2
"2013",352,"Myca",1
"2013",356,"Lano",1
"2013",359,"Lano",1
"2013",360,"Lano",1
"2013",361,"Lano",1
"2013",362,"Lano",2
"2014",2,"Laci",1
"2014",3,"Laci",1
"2014",3,"Lano",1
"2014",3,"Myca",1
"2014",4,"Laci",1
"2014",5,"Laci",1
"2014",5,"Lano",3
"2014",5,"Tabr",1
"2014",7,"Lano",1
"2014",7,"Myca",1
"2014",7,"Tabr",1
"2014",9,"Tabr",1
"2014",10,"Myca",1
"2014",10,"Tabr",1
"2014",13,"Tabr",1
"2014",14,"Myca",4
"2014",15,"Laci",1
"2014",15,"Lano",1
"2014",15,"Myca",5
"2014",15,"Tabr",2
"2014",16,"Laci",1
"2014",16,"Lano",17
"2014",16,"Myca",1
"2014",16,"Tabr",9
"2014",17,"Myca",1
"2014",18,"Lano",1
"2014",20,"Myca",1
"2014",23,"Laci",10
"2014",23,"Lano",4
"2014",23,"Tabr",1
"2014",24,"Laci",7
"2014",24,"Lano",1
"2014",24,"Myca",1
"2014",25,"Myca",1
"2014",28,"Laci",1
"2014",30,"Tabr",1
"2014",39,"Laci",2
"2014",39,"Lano",4
"2014",39,"Tabr",36
"2014",40,"Laci",1
"2014",42,"Laci",1
"2014",47,"Laci",3
"2014",47,"Lano",2
"2014",47,"Tabr",1
"2014",51,"Lano",1
"2014",52,"Laci",1
"2014",52,"Lano",3
"2014",52,"Tabr",1
"2014",53,"Lano",1
"2014",55,"Laci",11
"2014",55,"Lano",1
"2014",55,"Tabr",1
"2014",56,"Tabr",1
"2014",60,"Laci",1
"2014",60,"Lano",3
"2014",61,"Laci",1
"2014",63,"Laci",4
"2014",63,"Lano",4
"2014",63,"Tabr",6
"2014",64,"Lano",1
"2014",65,"Laci",1
"2014",65,"Tabr",1
"2014",66,"Laci",1
"2014",66,"Lano",1
"2014",70,"Laci",2
"2014",70,"Lano",1
"2014",70,"Tabr",1
"2014",71,"Laci",2
"2014",71,"Lano",2
"2014",72,"Lano",2
"2014",74,"Lano",1
"2014",75,"Laci",1
"2014",77,"Lano",1
"2014",78,"Tabr",1
"2014",79,"Lano",2
"2014",81,"Lano",1
"2014",115,"Lano",1
"2014",117,"Tabr",1
"2014",118,"Lano",3
"2014",119,"Laci",1
"2014",119,"Lano",4
"2014",119,"Tabr",1
"2014",120,"Lano",7
"2014",121,"Lano",6
"2014",121,"Tabr",1
"2014",123,"Lano",1
"2014",125,"Myca",1
"2014",126,"Lano",1
"2014",126,"Myca",1
"2014",131,"Tabr",1
"2014",132,"Tabr",2
"2014",133,"Laci",1
"2014",133,"Myca",1
"2014",133,"Tabr",1
"2014",134,"Lano",1
"2014",135,"Laci",1
"2014",135,"Lano",1
"2014",136,"Lano",1
"2014",137,"Laci",1
"2014",138,"Tabr",1
"2014",147,"Lano",1
"2014",149,"Tabr",1
"2014",152,"Lano",2
"2014",152,"Tabr",1
"2014",154,"Lano",1
"2014",157,"Lano",1
"2014",157,"Tabr",1
"2014",158,"Lano",17
"2014",158,"Tabr",2
"2014",159,"Lano",5
"2014",159,"Myca",1
"2014",160,"Lano",2
"2014",161,"Lano",8
"2014",162,"Lano",1
"2014",163,"Lano",2
"2014",164,"Lano",1
"2014",167,"Laci",1
"2014",167,"Lano",3
"2014",170,"Lano",2
"2014",172,"Tabr",1
"2014",175,"Lano",1
"2014",175,"Myca",1
"2014",184,"Tabr",1
"2014",194,"Myca",1
"2014",196,"Lano",1
"2014",215,"Myca",1
"2014",215,"Tabr",1
"2014",217,"Myca",1
"2014",220,"Myca",1
"2014",221,"Myca",1
"2014",222,"Tabr",1
"2014",224,"Lano",1
"2014",230,"Lano",1
"2014",231,"Tabr",1
"2014",234,"Myca",1
"2014",235,"Lano",1
"2014",235,"Myca",1
"2014",240,"Tabr",1
"2014",242,"Lano",1
"2014",243,"Laci",2
"2014",243,"Lano",1
"2014",244,"Lano",1
"2014",244,"Myca",3
"2014",245,"Laci",1
"2014",245,"Myca",1
"2014",245,"Tabr",1
"2014",246,"Lano",7
"2014",246,"Tabr",2
"2014",247,"Tabr",1
"2014",248,"Myca",1
"2014",252,"Lano",1
"2014",253,"Lano",18
"2014",253,"Tabr",1
"2014",254,"Lano",35
"2014",254,"Myca",1
"2014",254,"Tabr",2
"2014",255,"Lano",3
"2014",256,"Lano",1
"2014",257,"Tabr",1
"2014",258,"Lano",3
"2014",259,"Lano",37
"2014",259,"Tabr",1
"2014",260,"Lano",1
"2014",261,"Lano",7
"2014",262,"Lano",25
"2014",263,"Lano",3
"2014",264,"Lano",3
"2014",265,"Lano",9
"2014",265,"Tabr",2
"2014",266,"Lano",19
"2014",266,"Tabr",3
"2014",267,"Lano",8
"2014",267,"Tabr",6
"2014",268,"Lano",6
"2014",269,"Lano",1
"2014",270,"Laci",1
"2014",270,"Lano",37
"2014",270,"Tabr",2
"2014",271,"Lano",7
"2014",271,"Tabr",3
"2014",273,"Laci",5
"2014",273,"Lano",42
"2014",273,"Tabr",6
"2014",274,"Laci",1
"2014",274,"Lano",26
"2014",274,"Myca",1
"2014",275,"Lano",7
"2014",275,"Tabr",1
"2014",276,"Lano",24
"2014",276,"Tabr",3
"2014",277,"Lano",3
"2014",278,"Lano",2
"2014",278,"Tabr",2
"2014",279,"Laci",1
"2014",279,"Myca",1
"2014",285,"Tabr",1
"2014",289,"Lano",1
"2014",290,"Tabr",1
"2014",291,"Tabr",1
"2014",292,"Tabr",2
"2014",314,"Myca",1
"2014",315,"Lano",1
"2014",315,"Tabr",1
"2014",321,"Tabr",1
"2014",322,"Laci",1
"2014",322,"Lano",1
"2014",331,"Tabr",2
